spec,lat,long
Large_mammal,-14.916667,-69.866669
Large_mammal,-13.75,-72.900001
Large_mammal,-11.299651,-76.935517
Large_mammal,-13.819719,-74.03454
Large_mammal,-16.372861,-70.48151
Large_mammal,-14.465147,-71.802019
Large_mammal,-15.473888,-72.723333
Large_mammal,-13.401467,-72.585258
Large_mammal,-15.642874,-70.709038
Large_mammal,-13.038611,-74.228058
Large_mammal,-17.299999,-69.25
Large_mammal,-12.2518,-75.817191
Large_mammal,-16.38154,-69.666667
Large_mammal,-15.2,-71.766663
Large_mammal,-15.657446,-72.177146
Large_mammal,-17.368877,-67.438219
Large_mammal,-11.683176,-74.96524
Large_mammal,-12.601827,-76.12355
Large_mammal,-15.8422,-70.0199
Large_mammal,-16.642078,-70.083015
Large_mammal,-14.599,-73.617
Large_mammal,-14.174452,-71.37204
Large_mammal,-11.254,-75.882
Large_mammal,-11.682346,-76.226933
Large_mammal,-14.502716,-72.730512
Large_mammal,-15.280405,-69.030886
Large_mammal,-18.182415,-68.93954
Large_mammal,-15.882528,-71.173072
Large_mammal,-16.704571,-68.927624
Large_mammal,-18.020606,-69.49749
Large_mammal,-18.853917,-69.143628
Large_mammal,-15.463148,-73.600439
Large_mammal,-14.355493,-74.227704
Large_mammal,-13.72661,-71.202374
Large_mammal,-13.407544,-71.843911
Large_mammal,-14.252502,-73.17779
Large_mammal,-10.841233,-76.178074
Large_mammal,-16.354869,-71.192097
Large_mammal,-14.831089,-71.154915
Large_mammal,-13.55262,-75.220347
Large_mammal,-17.011108,-66.444365
Large_mammal,-15.664208,-71.602936
Large_mammal,-12.829088,-75.560932
Large_mammal,-18.567,-67.81
Large_mammal,-15.041767,-70.367477
Large_mammal,-12.843095,-74.970213
Large_mammal,-14.820012,-69.113589
Large_mammal,-17.22072,-68.65397
Large_mammal,-14.292729,-74.692508
Large_mammal,-12.366667,-74.883333
Large_mammal,-14.25466,-69.73426
Large_mammal,-18.474682,-69.527217
Large_mammal,-17.128426,-70.61841
Large_mammal,-14.759566,-74.455011
Large_mammal,-16.126478,-71.635339
Large_mammal,-15.026157,-73.830779
Large_mammal,-17.671109,-69.842374
Large_mammal,-16.7167,-71.55718
