Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.11689E-11,0.000000003,0.000000099,1,0,0
5.07628E-11,0.000000013,0.000000162,0.999801153,0,0
7.71508E-11,0.000000028,0.000000246,0.999602307,0,0
1.89618E-10,0.000000105,0.000000605,0.999005767,0,0
2.8258E-10,0.000000266,0.000000901,0.998309803,0,0
7.74884E-10,0.000001063,0.000002472,0.99671903,0,0
1.36016E-9,0.000002606,0.000004339,0.995327103,0,0
3.32477E-9,0.000010018,0.000010605,0.992046132,0,0
6.77348E-9,0.000025315,0.000021606,0.988864585,0,0
1.08741E-8,0.000050671,0.000034686,0.985981308,0,0
1.61625E-8,0.00010071,0.000051555,0.982203221,0,0
2.71043E-8,0.000250766,0.000086455,0.975243587,0,0
3.91953E-8,0.000500143,0.00012502,0.967786836,0,0
6.22321E-8,0.001003988,0.000198492,0.957745079,0,0
1.06292E-7,0.002503477,0.000338998,0.939848877,0,0
1.41529E-7,0.005000526,0.000451356,0.920163054,0,0
2.00755E-7,0.01001822,0.000640175,0.890932591,0,0
3.47864E-7,0.025019541,0.001109022,0.836150328,0,0
5.54396E-7,0.050054892,0.001766881,0.780373832,0,0
8.11209E-7,0.100051328,0.002584295,0.707397097,0,0
1.29407E-6,0.200013528,0.0041194,0.609862796,0,0
1.90765E-6,0.300114125,0.006066654,0.545933585,0,0
3.717E-6,0.400077035,0.011786666,0.506959634,0,0
5.53649E-6,0.500241926,0.01750558,0.485185922,0,0
7.34894E-6,0.600579909,0.023169442,0.46967588,0,0
9.05015E-6,0.70000583,0.028455955,0.457546232,0,0
9.81715E-6,0.750197496,0.030830035,0.452276795,0,0
1.06649E-5,0.80048453,0.033447458,0.447405051,0,0
1.25E-5,0.900688189,0.039088727,0.43875522,0,0
1.46116E-5,1.001000214,0.0455393,0.431397892,0,0
1.64639E-5,1.101025679,0.051162219,0.425034798,0,0
1.81303E-5,1.201750525,0.056192382,0.419268244,0,0
1.97414E-5,1.30028694,0.06103041,0.41409823,0,0
2.18765E-5,1.40191984,0.067403574,0.409226486,0,0
2.33019E-5,1.501916739,0.071634549,0.404851859,0,0
2.70365E-5,1.751516596,0.082628156,0.395008948,0,0
3.11367E-5,2.001307237,0.094548574,0.38645854,0.017241379,0
3.46366E-5,2.253407538,0.10460105,0.378802943,0.017241379,0
3.76528E-5,2.502217511,0.11317457,0.371942732,0.017241379,0
4.06754E-5,2.752745269,0.121683971,0.365579638,0.017241379,0
4.36592E-5,3.001120366,0.130003991,0.359713661,0.017241379,0
4.67389E-5,3.25058334,0.138508722,0.354245377,0.017241379,0
4.95429E-5,3.501999747,0.146179878,0.349075363,0.017241379,0
5.28692E-5,3.753158444,0.155191401,0.344203619,0.017241379,0
5.62506E-5,4.005267574,0.164254522,0.339630145,0.017241379,0
5.88591E-5,4.253256287,0.171179847,0.335354941,0.017241379,0
6.17062E-5,4.50603652,0.178672998,0.331179161,0.017241379,0
6.42967E-5,4.752196859,0.185431988,0.32730165,0.017241379,0
6.87116E-5,5.004898221,0.196822899,0.323523563,0.017241379,0
7.1458E-5,5.256737462,0.203828489,0.319944323,0.017241379,0
7.44239E-5,5.505366748,0.211325328,0.316563929,0.017241379,0
7.70533E-5,5.755071413,0.217912794,0.313282959,0.017241379,0
7.95219E-5,6.004994948,0.224047156,0.310101412,0.017241379,0
8.23977E-5,6.256217432,0.231132574,0.307019288,0.017241379,0
8.52173E-5,6.507066554,0.238016978,0.304036588,0.017241379,0
8.7148E-5,6.756467387,0.242695268,0.301153311,0.017241379,0
8.93984E-5,7.004150763,0.248112126,0.298369457,0.017241379,0
9.24816E-5,7.25824593,0.255470683,0.295585603,0.017241379,0
9.44972E-5,7.501451097,0.260242092,0.293000597,0.017241379,0
9.71891E-5,7.750446164,0.266567254,0.29041559,0.017241379,0
9.94609E-5,8.006791024,0.271862865,0.287830583,0.017241379,0
1.01951E-4,8.259277243,0.277624483,0.285344999,0.017241379,0
1.04649E-4,8.507089923,0.283814434,0.282958839,0.017241379,0
1.06153E-4,8.760165191,0.287240955,0.280572678,0.017241379,0
1.08087E-4,9.006686387,0.291624329,0.278285942,0.034482759,0
1.10332E-4,9.258206072,0.296679071,0.275999205,0.034482759,0
1.12817E-4,9.503778637,0.3022325,0.273811891,0.034482759,0
1.15413E-4,9.754752587,0.307988113,0.271624577,0.034482759,0
1.17354E-4,10.010722649,0.312258785,0.269437264,0.034482759,0
